"IndicatorCode","IndicatorName","VariableName","MeasurementName","CountryCode","Alpha3Code","CountryName","PeriodCode","Value",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","051","ARM","Armenia","2005","6.5",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","051","ARM","Armenia","2006","6.6",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","051","ARM","Armenia","2007","6.5",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","051","ARM","Armenia","2008","6.8",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","051","ARM","Armenia","2009","6.1",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","051","ARM","Armenia","2010","6.1",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","051","ARM","Armenia","2011","7.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","051","ARM","Armenia","2012","8.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","051","ARM","Armenia","2013","6.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","051","ARM","Armenia","2014","6.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","051","ARM","Armenia","2015","6.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","051","ARM","Armenia","2016","..",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","051","ARM","Armenia","2017","..",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","040","AUT","Austria","2005","10.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","040","AUT","Austria","2006","11.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","040","AUT","Austria","2007","12.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","040","AUT","Austria","2008","14.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","040","AUT","Austria","2009","16.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","040","AUT","Austria","2010","17.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","040","AUT","Austria","2011","20.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","040","AUT","Austria","2012","21.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","040","AUT","Austria","2013","23.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","040","AUT","Austria","2014","24.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","040","AUT","Austria","2015","26.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","040","AUT","Austria","2016","25.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","040","AUT","Austria","2017","26.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","031","AZE","Azerbaijan","2005","4.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","031","AZE","Azerbaijan","2006","4.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","031","AZE","Azerbaijan","2007","4.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","031","AZE","Azerbaijan","2008","4.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","031","AZE","Azerbaijan","2009","3.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","031","AZE","Azerbaijan","2010","3.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","031","AZE","Azerbaijan","2011","3.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","031","AZE","Azerbaijan","2012","3.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","031","AZE","Azerbaijan","2013","3.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","031","AZE","Azerbaijan","2014","3.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","031","AZE","Azerbaijan","2015","3.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","031","AZE","Azerbaijan","2016","3.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","031","AZE","Azerbaijan","2017","3.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","112","BLR","Belarus","2005","26.3",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","112","BLR","Belarus","2006","26.2",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","112","BLR","Belarus","2007","26.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","112","BLR","Belarus","2008","28.4",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","112","BLR","Belarus","2009","27.6",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","112","BLR","Belarus","2010","27.6",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","112","BLR","Belarus","2011","30.4",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","112","BLR","Belarus","2012","29.5",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","112","BLR","Belarus","2013","29.3",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","112","BLR","Belarus","2014","29.2",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","112","BLR","Belarus","2015","29.1",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","112","BLR","Belarus","2016","29.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","112","BLR","Belarus","2017","29.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","056","BEL","Belgium","2005","30.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","056","BEL","Belgium","2006","31.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","056","BEL","Belgium","2007","32.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","056","BEL","Belgium","2008","33.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","056","BEL","Belgium","2009","35.7",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","056","BEL","Belgium","2010","35.1",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","056","BEL","Belgium","2011","34.9",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","056","BEL","Belgium","2012","36.9",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","056","BEL","Belgium","2013","37.7",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","056","BEL","Belgium","2014","38.8",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","056","BEL","Belgium","2015","38.7",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","056","BEL","Belgium","2016","40.6",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","056","BEL","Belgium","2017","43.1",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","100","BGR","Bulgaria","2005","11.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","100","BGR","Bulgaria","2006","12.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","100","BGR","Bulgaria","2007","12.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","100","BGR","Bulgaria","2008","12.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","100","BGR","Bulgaria","2009","13.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","100","BGR","Bulgaria","2010","14.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","100","BGR","Bulgaria","2011","15.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","100","BGR","Bulgaria","2012","15.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","100","BGR","Bulgaria","2013","15.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","100","BGR","Bulgaria","2014","15.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","100","BGR","Bulgaria","2015","16.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","100","BGR","Bulgaria","2016","16.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","100","BGR","Bulgaria","2017","17.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","191","HRV","Croatia","2005","16.5",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","191","HRV","Croatia","2006","18.1",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","191","HRV","Croatia","2007","19.6",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","191","HRV","Croatia","2008","20.1",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","191","HRV","Croatia","2009","20.7",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","191","HRV","Croatia","2010","21.6",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","191","HRV","Croatia","2011","22.4",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","191","HRV","Croatia","2012","22.8",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","191","HRV","Croatia","2013","22.6",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","191","HRV","Croatia","2014","23.5",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","191","HRV","Croatia","2015","24.2",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","191","HRV","Croatia","2016","26.1",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","191","HRV","Croatia","2017","27.5",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","196","CYP","Cyprus","2005","17.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","196","CYP","Cyprus","2006","19.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","196","CYP","Cyprus","2007","20.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","196","CYP","Cyprus","2008","18.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","196","CYP","Cyprus","2009","18.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","196","CYP","Cyprus","2010","17.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","196","CYP","Cyprus","2011","17.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","196","CYP","Cyprus","2012","17.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","196","CYP","Cyprus","2013","17.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","196","CYP","Cyprus","2014","19.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","196","CYP","Cyprus","2015","20.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","196","CYP","Cyprus","2016","22.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","196","CYP","Cyprus","2017","..",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","203","CZE","Czechia","2005","7.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","203","CZE","Czechia","2006","6.3",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","203","CZE","Czechia","2007","6.2",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","203","CZE","Czechia","2008","6.4",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","203","CZE","Czechia","2009","7.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","203","CZE","Czechia","2010","7.3",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","203","CZE","Czechia","2011","7.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","203","CZE","Czechia","2012","..",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","203","CZE","Czechia","2013","..",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","203","CZE","Czechia","2014","..",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","203","CZE","Czechia","2015","..",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","203","CZE","Czechia","2016","..",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","203","CZE","Czechia","2017","..",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","208","DNK","Denmark","2005","61.8",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","208","DNK","Denmark","2006","63.2",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","208","DNK","Denmark","2007","66.9",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","208","DNK","Denmark","2008","67.1",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","208","DNK","Denmark","2009","66.7",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","208","DNK","Denmark","2010","68.4",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","208","DNK","Denmark","2011","69.1",
