indicator,country_code,country,year,value_f,note_f,value_m,note_m
All causes of death,AUS,Australia,2000,61726,,67058,
All causes of death,AUS,Australia,2001,61842,,66815,
All causes of death,AUS,Australia,2002,64369,,68678,
All causes of death,AUS,Australia,2003,63844,,67940,
All causes of death,AUS,Australia,2004,64046,,68268,
All causes of death,AUS,Australia,2006,65183,,68556,
All causes of death,AUS,Australia,2007,67285,,70569,
All causes of death,AUS,Australia,2008,70398,,73548,
All causes of death,AUS,Australia,2009,68440,,72320,
All causes of death,AUS,Australia,2010,69989,,73484,
All causes of death,AUS,Australia,2011,71602,,75330,
All causes of death,AUS,Australia,2012,72304,,74794,
All causes of death,AUS,Australia,2013,71896,,75782,
All causes of death,AUS,Australia,2014,75239,,78341,
All causes of death,AUS,Australia,2015,77722,,81330,
All causes of death,AUS,Australia,2016,76637,,81867,
All causes of death,AUS,Australia,2017,78051,,82858,
Certain infectious and parasitic diseases,AUS,Australia,2000,787,,871,
Certain infectious and parasitic diseases,AUS,Australia,2001,801,,898,
Certain infectious and parasitic diseases,AUS,Australia,2002,834,,942,
Certain infectious and parasitic diseases,AUS,Australia,2003,821,,921,
Certain infectious and parasitic diseases,AUS,Australia,2004,835,,966,
Certain infectious and parasitic diseases,AUS,Australia,2006,926,,1043,
Certain infectious and parasitic diseases,AUS,Australia,2007,885,,972,
Certain infectious and parasitic diseases,AUS,Australia,2008,954,,1015,
Certain infectious and parasitic diseases,AUS,Australia,2009,852,,974,
Certain infectious and parasitic diseases,AUS,Australia,2010,1025,,1125,
Certain infectious and parasitic diseases,AUS,Australia,2011,1158,,1242,
Certain infectious and parasitic diseases,AUS,Australia,2012,1172,,1222,
Certain infectious and parasitic diseases,AUS,Australia,2013,1359,,1323,
Certain infectious and parasitic diseases,AUS,Australia,2014,1323,,1412,
Certain infectious and parasitic diseases,AUS,Australia,2015,1397,,1460,
Certain infectious and parasitic diseases,AUS,Australia,2016,1384,,1445,
Certain infectious and parasitic diseases,AUS,Australia,2017,1307,,1329,
HIV-AIDS,AUS,Australia,2000,10,,124,
HIV-AIDS,AUS,Australia,2001,11,,109,
HIV-AIDS,AUS,Australia,2002,10,,101,
HIV-AIDS,AUS,Australia,2003,11,,99,
HIV-AIDS,AUS,Australia,2004,7,,100,
HIV-AIDS,AUS,Australia,2006,11,,90,
HIV-AIDS,AUS,Australia,2007,9,,78,
HIV-AIDS,AUS,Australia,2008,8,,59,
HIV-AIDS,AUS,Australia,2009,5,,74,
HIV-AIDS,AUS,Australia,2010,7,,64,
HIV-AIDS,AUS,Australia,2011,9,,82,
HIV-AIDS,AUS,Australia,2012,5,,70,
HIV-AIDS,AUS,Australia,2013,7,,55,
HIV-AIDS,AUS,Australia,2014,2,,54,
HIV-AIDS,AUS,Australia,2015,5,,40,
HIV-AIDS,AUS,Australia,2016,6,,52,
HIV-AIDS,AUS,Australia,2017,1,,55,
Malignant neoplasms,AUS,Australia,2000,15546,,20279,
Malignant neoplasms,AUS,Australia,2001,16026,,20683,
Malignant neoplasms,AUS,Australia,2002,16441,,21017,
Malignant neoplasms,AUS,Australia,2003,16469,,20976,
Malignant neoplasms,AUS,Australia,2004,16619,,21399,
Malignant neoplasms,AUS,Australia,2006,16876,,21858,
Malignant neoplasms,AUS,Australia,2007,17095,,22269,
Malignant neoplasms,AUS,Australia,2008,18003,,23347,
