freq,unit,sex,age,geo,value,flag
A,YR,F,Y_LT1,AL,80.5,
A,YR,F,Y_LT1,AM,79.7,
A,YR,F,Y_LT1,AT,84.1,
A,YR,F,Y_LT1,AZ,78.3,
A,YR,F,Y_LT1,BE,83.9,
A,YR,F,Y_LT1,BG,78.6,
A,YR,F,Y_LT1,BY,79.5,
A,YR,F,Y_LT1,CH,85.7,
A,YR,F,Y_LT1,CY,84.8,
A,YR,F,Y_LT1,CZ,82.0,
A,YR,F,Y_LT1,DE,83.3,
A,YR,F,Y_LT1,DE_TOT,83.3,
A,YR,F,Y_LT1,DK,82.9,
A,YR,F,Y_LT1,EA18,84.6,ep
A,YR,F,Y_LT1,EA19,84.6,ep
A,YR,F,Y_LT1,EE,82.7,
A,YR,F,Y_LT1,EEA30_2007,83.7,ep
A,YR,F,Y_LT1,EEA31,83.6,ep
A,YR,F,Y_LT1,EFTA,85.2,
A,YR,F,Y_LT1,EL,84.4,
A,YR,F,Y_LT1,ES,86.3,
A,YR,F,Y_LT1,EU27_2007,83.7,ep
A,YR,F,Y_LT1,EU27_2020,83.7,ep
A,YR,F,Y_LT1,EU28,83.6,ep
A,YR,F,Y_LT1,FI,84.5,
A,YR,F,Y_LT1,FR,85.9,p
A,YR,F,Y_LT1,GE,78.2,
A,YR,F,Y_LT1,HR,81.5,
A,YR,F,Y_LT1,HU,79.6,
A,YR,F,Y_LT1,IE,84.1,e
A,YR,F,Y_LT1,IS,84.5,
A,YR,F,Y_LT1,IT,85.6,
A,YR,F,Y_LT1,LI,85.5,
A,YR,F,Y_LT1,LT,80.7,
A,YR,F,Y_LT1,LU,84.6,
A,YR,F,Y_LT1,LV,79.7,
A,YR,F,Y_LT1,ME,79.3,
A,YR,F,Y_LT1,MK,78.8,
A,YR,F,Y_LT1,MT,84.6,
A,YR,F,Y_LT1,NL,83.4,
A,YR,F,Y_LT1,NO,84.5,
A,YR,F,Y_LT1,PL,81.7,
A,YR,F,Y_LT1,PT,84.5,
A,YR,F,Y_LT1,RO,79.2,
A,YR,F,Y_LT1,RS,78.4,
A,YR,F,Y_LT1,SE,84.3,
A,YR,F,Y_LT1,SI,84.4,
A,YR,F,Y_LT1,SK,80.8,
A,YR,F,Y_LT1,TR,81.6,
A,YR,F,Y_LT1,UA,78.0,
A,YR,F,Y_LT1,UK,83.1,
A,YR,M,Y_LT1,AL,77.4,
A,YR,M,Y_LT1,AM,73.4,
A,YR,M,Y_LT1,AT,79.4,
A,YR,M,Y_LT1,AZ,73.5,
A,YR,M,Y_LT1,BE,79.4,
A,YR,M,Y_LT1,BG,71.5,
A,YR,M,Y_LT1,BY,69.3,
A,YR,M,Y_LT1,CH,81.9,
A,YR,M,Y_LT1,CY,80.9,
A,YR,M,Y_LT1,CZ,76.2,
A,YR,M,Y_LT1,DE,78.6,
A,YR,M,Y_LT1,DE_TOT,78.6,
A,YR,M,Y_LT1,DK,79.1,
A,YR,M,Y_LT1,EA18,79.6,ep
A,YR,M,Y_LT1,EA19,79.5,ep
A,YR,M,Y_LT1,EE,74.0,
A,YR,M,Y_LT1,EEA30_2007,78.4,ep
A,YR,M,Y_LT1,EEA31,78.4,ep
A,YR,M,Y_LT1,EFTA,81.6,
A,YR,M,Y_LT1,EL,79.3,
A,YR,M,Y_LT1,ES,80.7,
A,YR,M,Y_LT1,EU27_2007,78.4,ep
A,YR,M,Y_LT1,EU27_2020,78.2,ep
A,YR,M,Y_LT1,EU28,78.3,ep
A,YR,M,Y_LT1,FI,79.1,
A,YR,M,Y_LT1,FR,79.7,p
A,YR,M,Y_LT1,GE,69.7,
A,YR,M,Y_LT1,HR,74.9,
A,YR,M,Y_LT1,HU,72.7,
A,YR,M,Y_LT1,IE,80.5,e
A,YR,M,Y_LT1,IS,81.3,
A,YR,M,Y_LT1,IT,81.2,
A,YR,M,Y_LT1,LI,80.7,
A,YR,M,Y_LT1,LT,70.9,
A,YR,M,Y_LT1,LU,80.1,
A,YR,M,Y_LT1,LV,70.1,
A,YR,M,Y_LT1,ME,74.5,
A,YR,M,Y_LT1,MK,74.6,
A,YR,M,Y_LT1,MT,80.4,
A,YR,M,Y_LT1,NL,80.3,
A,YR,M,Y_LT1,NO,81.1,
A,YR,M,Y_LT1,PL,73.7,
A,YR,M,Y_LT1,PT,78.3,
A,YR,M,Y_LT1,RO,71.7,
A,YR,M,Y_LT1,RS,73.5,
A,YR,M,Y_LT1,SE,80.9,
A,YR,M,Y_LT1,SI,78.5,
A,YR,M,Y_LT1,SK,73.9,
A,YR,M,Y_LT1,TR,76.2,
A,YR,M,Y_LT1,UA,68.1,
A,YR,M,Y_LT1,UK,79.5,
A,YR,T,Y_LT1,AL,78.9,
A,YR,T,Y_LT1,AM,76.7,
A,YR,T,Y_LT1,AT,81.8,
A,YR,T,Y_LT1,AZ,76.0,
A,YR,T,Y_LT1,BE,81.7,
A,YR,T,Y_LT1,BG,75.0,
A,YR,T,Y_LT1,BY,74.5,
A,YR,T,Y_LT1,CH,83.8,
A,YR,T,Y_LT1,CY,82.9,
A,YR,T,Y_LT1,CZ,79.1,
A,YR,T,Y_LT1,DE,81.0,
A,YR,T,Y_LT1,DE_TOT,81.0,
A,YR,T,Y_LT1,DK,81.0,
A,YR,T,Y_LT1,EA18,82.2,ep
A,YR,T,Y_LT1,EA19,82.1,ep
A,YR,T,Y_LT1,EE,78.5,
A,YR,T,Y_LT1,EEA30_2007,81.1,ep
A,YR,T,Y_LT1,EEA31,81.0,ep
A,YR,T,Y_LT1,EFTA,83.4,
A,YR,T,Y_LT1,EL,81.9,
A,YR,T,Y_LT1,ES,83.5,
A,YR,T,Y_LT1,EU27_2007,81.0,ep
A,YR,T,Y_LT1,EU27_2020,81.0,ep
A,YR,T,Y_LT1,EU28,81.0,ep
A,YR,T,Y_LT1,FI,81.8,
A,YR,T,Y_LT1,FR,82.9,p
A,YR,T,Y_LT1,GE,74.0,
A,YR,T,Y_LT1,HR,78.2,
A,YR,T,Y_LT1,HU,76.2,
A,YR,T,Y_LT1,IE,82.3,e
A,YR,T,Y_LT1,IS,82.9,
A,YR,T,Y_LT1,IT,83.4,
A,YR,T,Y_LT1,LI,83.1,
A,YR,T,Y_LT1,LT,76.0,
A,YR,T,Y_LT1,LU,82.3,
A,YR,T,Y_LT1,LV,75.1,
A,YR,T,Y_LT1,ME,76.9,
A,YR,T,Y_LT1,MK,76.7,
A,YR,T,Y_LT1,MT,82.5,
A,YR,T,Y_LT1,NL,81.9,
A,YR,T,Y_LT1,NO,82.8,
A,YR,T,Y_LT1,PL,77.7,
A,YR,T,Y_LT1,PT,81.5,
A,YR,T,Y_LT1,RO,75.3,
A,YR,T,Y_LT1,RS,75.9,
A,YR,T,Y_LT1,SE,82.6,
A,YR,T,Y_LT1,SI,81.5,
A,YR,T,Y_LT1,SK,77.4,
A,YR,T,Y_LT1,TR,78.9,
A,YR,T,Y_LT1,UA,73.2,
A,YR,T,Y_LT1,UK,81.3,
