country_name,country_code,year,total,single,married,union_cohabiting,widowed,divorced,single_widowed_divorced,married_union_cohabiting,not_elsewhere_classified
Afghanistan,AFG,2012,1098.045,248.304,795.325,,53.619,0.797,302.72,795.325,
Afghanistan,AFG,2014,1873.69,498.944,1204.833,,72.09,3.677,574.711,1204.833,94.146
Afghanistan,AFG,2017,1603.087,305.924,1133.319,85.511,75.366,2.967,384.257,1218.83,
Angola,AGO,2004,1284.654,,,,,,,1543.943,
Angola,AGO,2009,2786.864,507.908,338.285,1337.665,286.21,316.796,1110.913,1675.95,
Angola,AGO,2011,1448.263,,,,,,,2265.542,
Albania,ALB,2007,445.671,85.988,340.312,,14.687,4.685,105.36,340.312,
Albania,ALB,2008,579.861,99.574,456.954,,16.509,6.824,122.907,456.954,
Albania,ALB,2009,589.456,125.206,433.668,,21.337,9.245,155.788,433.668,
Albania,ALB,2010,591.159,113.537,444.149,,25.367,8.107,147.011,444.149,
Albania,ALB,2011,592.75,106.871,452.266,,24.321,9.292,140.484,452.266,
Albania,ALB,2013,532.512,79.87,407.958,,29.399,15.284,124.554,407.958,
Albania,ALB,2014,527.454,90.896,409.083,,20.534,6.941,118.371,409.083,
Albania,ALB,2015,559.825,82.666,442.57,,25.811,8.779,117.255,442.57,
Albania,ALB,2016,589.511,93.261,461.186,,26.848,8.216,128.325,461.186,
Albania,ALB,2017,588.14,65.996,346.03,,22.734,7.033,95.762,346.03,146.348
Albania,ALB,2018,612.28,104.606,471.515,,26.465,9.695,140.765,471.515,
Albania,ALB,2019,634.249,112.079,486.097,,25.146,10.928,148.152,486.097,
United Arab Emirates,ARE,2017,1446.686,492.314,0.859,,56.343,879.322,1427.978,0.859,17.848
United Arab Emirates,ARE,2018,1354.555,510.879,781.227,,19.724,42.725,573.328,781.227,
United Arab Emirates,ARE,2019,1866.5,659.484,1110.577,,30.8,65.482,755.766,1110.577,
Argentina,ARG,2004,4619.441,1496.368,1674.171,706.818,205.127,536.957,2238.452,2380.989,
Argentina,ARG,2005,4607.56,1483.845,1582.157,740.144,237.933,563.481,2285.258,2322.301,
Argentina,ARG,2006,4759.001,1563.539,1614.084,790.323,225.939,565.117,2354.594,2404.407,
Argentina,ARG,2008,4741.779,1550.408,1604.024,830.555,196.036,559.181,2305.625,2434.579,
Argentina,ARG,2009,4876.297,1568.118,1639.654,881.468,205.203,581.493,2354.814,2521.121,
Argentina,ARG,2010,4827.009,1544.514,1549.556,950.301,202.395,580.244,2327.152,2499.857,
Argentina,ARG,2011,4853.112,1531.453,1539.163,1027.736,176.654,576.325,2284.431,2566.899,
Argentina,ARG,2012,4944.722,1587.041,1552.453,1036.371,174.856,594.001,2355.898,2588.824,
Argentina,ARG,2013,4966.26,1586.257,1513.692,1097.294,172.589,596.121,2354.967,2610.986,
Argentina,ARG,2014,5028.089,1615.755,1470.91,1139.321,180.313,621.484,2417.553,2610.231,
Argentina,ARG,2017,5447.424,1728.332,1515.69,1276.802,194.353,731.261,2653.946,2792.491,
Argentina,ARG,2018,5710.511,1806.479,1563.28,1410.12,195.151,734.59,2736.22,2973.4,
Argentina,ARG,2019,5870.969,1869.499,1547.859,1521.115,185.29,746.732,2801.521,3068.974,
Armenia,ARM,2008,607.911,136.279,375.754,,61.658,32.545,230.482,376.72,
Armenia,ARM,2014,674.914,137.468,421.107,,76.26,40.079,253.807,421.107,
Armenia,ARM,2015,631.861,131.539,401.432,,67.403,31.487,230.429,401.432,
Armenia,ARM,2016,579.271,105.624,380.217,,62.669,30.761,199.054,380.217,
Armenia,ARM,2017,583.997,114.545,376.218,,58.24,34.994,207.779,376.218,
Armenia,ARM,2018,561.053,123.99,344.027,,60.118,32.918,217.026,344.027,
Armenia,ARM,2007,591.708,88.353,388.992,1.5,82.04,30.824,201.217,390.492,
Armenia,ARM,2009,666.594,134.241,416.299,2.71,77.619,35.538,247.397,419.009,
Armenia,ARM,2010,686.12,131.046,430.331,4.184,78.223,41.538,250.807,434.515,0.798
Armenia,ARM,2011,701.836,144.686,439.977,2.824,71.163,42.551,258.4,442.801,0.636
Armenia,ARM,2012,694.664,133.585,434.251,5.698,78.243,42.095,253.924,439.949,0.791
Armenia,ARM,2013,678.959,129.398,422.225,5.757,75.501,45.896,250.795,427.982,
Austria,AUT,1995,705.912,,,,,,,964.869,
Austria,AUT,1996,715.395,,,,,,,942.717,
Austria,AUT,1997,712.43,,,,,,,947.56,
Austria,AUT,1998,728.775,,,,,,,955.145,
Austria,AUT,1999,738.678,,,,,,,957.068,
Austria,AUT,2000,736.386,,,,,,,963.961,
Austria,AUT,2001,746.141,,,,,,,958.082,
Austria,AUT,2002,765.562,,,,,,,971.625,
Austria,AUT,2003,765.698,,,,,,,994.782,
Austria,AUT,2004,798.047,,,,,,,945.312,
Austria,AUT,2005,861.304,,,,,,,945.875,
Austria,AUT,2006,868.667,,,,,,,975.629,
Austria,AUT,2007,911.639,,,,,,,973.823,
Austria,AUT,2008,939.875,,,,,,,975.137,
Austria,AUT,2009,953.427,,,,,,,994.368,
Austria,AUT,2010,967.367,,,,,,,992.051,
Austria,AUT,2011,985.7,,,,,,,995.2,
Austria,AUT,2012,1000.738,,,,,,,1008.609,
Austria,AUT,2013,1020.094,,,,,,,1012.002,
Austria,AUT,2014,1029.392,,,,,,,1018.306,
Austria,AUT,2015,1272.098,,,,,,,791.651,
Austria,AUT,2016,1063.898,,,,,,,1038.501,
Austria,AUT,2017,1069.848,,,,,,,1042.544,
Austria,AUT,2018,1075.388,,,,,,,1046.789,
Burundi,BDI,2014,2041.03,322.513,1262.417,147.557,230.314,78.229,631.056,1409.974,
Belgium,BEL,1990,478.909,,,,,,,1054.946,
Belgium,BEL,1991,502.42,,,,,,,1096.943,
Belgium,BEL,1992,525.335,,,,,,,1115.32,
Belgium,BEL,1993,523.919,,,,,,,1154.064,
Belgium,BEL,1994,536.917,,,,,,,1171.426,
Belgium,BEL,1995,552.717,,,,,,,1178.075,
Belgium,BEL,1996,581.523,,,,,,,1156.704,
Belgium,BEL,1997,588.118,,,,,,,1177.755,
