indicator_x,country_code,year,value_x,indicator_y,value_y
paygap,ALB,2005,..,,
paygap,ALB,2006,..,,
paygap,ALB,2007,..,,
paygap,ALB,2008,14.7,,
paygap,ALB,2009,11.5,,
paygap,ALB,2010,..,,
paygap,ALB,2011,..,,
paygap,ALB,2012,..,,
paygap,ALB,2013,..,,
paygap,ALB,2014,10.1,,
paygap,ALB,2015,11.5,,
paygap,ALB,2016,11.4,,
paygap,ALB,2017,10.5,,
paygap,ALB,2018,..,,
paygap,AND,2005,..,,
paygap,AND,2006,..,,
paygap,AND,2007,..,,
paygap,AND,2008,..,,
paygap,AND,2009,..,,
paygap,AND,2010,..,,
paygap,AND,2011,..,,
paygap,AND,2012,..,,
paygap,AND,2013,..,,
paygap,AND,2014,..,,
paygap,AND,2015,..,,
paygap,AND,2016,..,,
paygap,AND,2017,19.0,,
paygap,AND,2018,..,,
paygap,ARM,2005,42.5,,
paygap,ARM,2006,40.8,,
paygap,ARM,2007,40.8,,
paygap,ARM,2008,41.8,,
paygap,ARM,2009,39.2,,
paygap,ARM,2010,35.9,,
paygap,ARM,2011,35.3,,
paygap,ARM,2012,35.6,,
paygap,ARM,2013,34.4,,
paygap,ARM,2014,34.1,,
paygap,ARM,2015,33.5,,
paygap,ARM,2016,33.6,,
paygap,ARM,2017,32.5,,
paygap,ARM,2018,..,,
paygap,AUT,2005,34.1,,
paygap,AUT,2006,34.2,,
paygap,AUT,2007,36.7,,
paygap,AUT,2008,35.3,,
paygap,AUT,2009,36.7,,
paygap,AUT,2010,33.9,,
paygap,AUT,2011,33.6,,
paygap,AUT,2012,36.3,,
paygap,AUT,2013,36.1,,
paygap,AUT,2014,35.1,,
paygap,AUT,2015,35.2,,
paygap,AUT,2016,34.3,paygap,15.670899643
paygap,AUT,2017,33.9,paygap,15.38215397
paygap,AUT,2018,..,paygap,14.876690892
paygap,AZE,2005,53.8,,
paygap,AZE,2006,52.6,,
paygap,AZE,2007,49.5,,
paygap,AZE,2008,43.2,,
paygap,AZE,2009,41.4,,
paygap,AZE,2010,45.2,,
paygap,AZE,2011,48.9,,
paygap,AZE,2012,53.1,,
paygap,AZE,2013,52.5,,
paygap,AZE,2014,45.3,,
paygap,AZE,2015,46.1,,
paygap,AZE,2016,49.7,,
paygap,AZE,2017,49.4,,
paygap,AZE,2018,..,,
paygap,BLR,2005,20.9,,
paygap,BLR,2006,20.1,,
paygap,BLR,2007,21.6,,
paygap,BLR,2008,26.1,,
paygap,BLR,2009,25.4,,
paygap,BLR,2010,23.4,,
paygap,BLR,2011,26.3,,
paygap,BLR,2012,25.5,,
paygap,BLR,2013,25.5,,
paygap,BLR,2014,23.4,,
paygap,BLR,2015,23.8,,
paygap,BLR,2016,21.5,,
paygap,BLR,2017,25.4,,
paygap,BLR,2018,..,,
paygap,BEL,2005,24.7,,
paygap,BEL,2006,23.6,,
paygap,BEL,2007,23.5,,
paygap,BEL,2008,22.9,,
paygap,BEL,2009,21.9,,
paygap,BEL,2010,21.7,,
paygap,BEL,2011,21.1,,
paygap,BEL,2012,20.4,,
paygap,BEL,2013,20.2,,
paygap,BEL,2014,20.2,,
paygap,BEL,2015,20.0,,
paygap,BEL,2016,20.2,paygap,3.7012987013
paygap,BEL,2017,..,paygap,4.1902961563
paygap,BEL,2018,..,,
paygap,BGR,2005,17.7,,
