Geographic area,Indicator,Sex,Residence,Education Level,SERIES_FOOTNOTE,Unit multiplier,Unit of measure,DATA_SOURCE,TIME_PERIOD,OBS_VALUE,OBS_FOOTNOTE,Observation Status,Observation confidentaility,Time period activity related to when the data are collected,Time interval at which the source data are collected
Angola,Educational attainment of the population (aged 25 years and older),Female,Total,Upper secondary education,,,%,UNESCO Institute for Statistics (UIS),2014,12.2926,,Normal value,,,
Albania,Educational attainment of the population (aged 25 years and older),Female,Total,Upper secondary education,,,%,UNESCO Institute for Statistics (UIS),2012,44.4915,,Normal value,,,
Andorra,Educational attainment of the population (aged 25 years and older),Female,Total,Upper secondary education,,,%,UNESCO Institute for Statistics (UIS),2016,47.03563,,Normal value,,,
Armenia,Educational attainment of the population (aged 25 years and older),Female,Total,Upper secondary education,,,%,UNESCO Institute for Statistics (UIS),2015,92.04399,,Normal value,,,
Australia,Educational attainment of the population (aged 25 years and older),Female,Total,Upper secondary education,,,%,UNESCO Institute for Statistics (UIS),2016,74.57207,,Normal value,,,
Austria,Educational attainment of the population (aged 25 years and older),Female,Total,Upper secondary education,,,%,UNESCO Institute for Statistics (UIS),2016,72.8933,,Normal value,,,
Azerbaijan,Educational attainment of the population (aged 25 years and older),Female,Total,Upper secondary education,,,%,UNESCO Institute for Statistics (UIS),2016,85.36393,,Normal value,,,
Burundi,Educational attainment of the population (aged 25 years and older),Female,Total,Upper secondary education,,,%,UNESCO Institute for Statistics (UIS),2014,2.27556,,Normal value,,,
Belgium,Educational attainment of the population (aged 25 years and older),Female,Total,Upper secondary education,,,%,UNESCO Institute for Statistics (UIS),2016,65.41165,,Normal value,,,
Burkina Faso,Educational attainment of the population (aged 25 years and older),Female,Total,Upper secondary education,,,%,UNESCO Institute for Statistics (UIS),2014,1.57192,,Normal value,,,
Bangladesh,Educational attainment of the population (aged 25 years and older),Female,Total,Upper secondary education,,,%,UNESCO Institute for Statistics (UIS),2016,23.88592,,Normal value,,,
Bulgaria,Educational attainment of the population (aged 25 years and older),Female,Total,Upper secondary education,,,%,UNESCO Institute for Statistics (UIS),2016,74.33253,,Normal value,,,
Bahrain,Educational attainment of the population (aged 25 years and older),Female,Total,Upper secondary education,,,%,UNESCO Institute for Statistics (UIS),2016,46.75234,,Normal value,,,
Bosnia and Herzegovina,Educational attainment of the population (aged 25 years and older),Female,Total,Upper secondary education,,,%,UNESCO Institute for Statistics (UIS),2016,50.9234,,Normal value,,,
Bermuda,Educational attainment of the population (aged 25 years and older),Female,Total,Upper secondary education,,,%,UNESCO Institute for Statistics (UIS),2016,89.28925,,Normal value,,,
Bolivia (Plurinational State of),Educational attainment of the population (aged 25 years and older),Female,Total,Upper secondary education,,,%,UNESCO Institute for Statistics (UIS),2015,39.01879,,Normal value,,,
Brazil,Educational attainment of the population (aged 25 years and older),Female,Total,Upper secondary education,,,%,UNESCO Institute for Statistics (UIS),2015,45.7328,,Normal value,,,
Bhutan,Educational attainment of the population (aged 25 years and older),Female,Total,Upper secondary education,,,%,UNESCO Institute for Statistics (UIS),2012,2.93025,,Normal value,,,
Canada,Educational attainment of the population (aged 25 years and older),Female,Total,Upper secondary education,,,%,UNESCO Institute for Statistics (UIS),2011,82.74051,,Normal value,,,
Switzerland,Educational attainment of the population (aged 25 years and older),Female,Total,Upper secondary education,,,%,UNESCO Institute for Statistics (UIS),2016,80.70776,,Normal value,,,
Chile,Educational attainment of the population (aged 25 years and older),Female,Total,Upper secondary education,,,%,UNESCO Institute for Statistics (UIS),2015,55.97417,,Normal value,,,
Côte d'Ivoire,Educational attainment of the population (aged 25 years and older),Female,Total,Upper secondary education,,,%,UNESCO Institute for Statistics (UIS),2014,6.94469,,Normal value,,,
Democratic Republic of the Congo,Educational attainment of the population (aged 25 years and older),Female,Total,Upper secondary education,,,%,UNESCO Institute for Statistics (UIS),2016,16.83823,,Normal value,,,
Colombia,Educational attainment of the population (aged 25 years and older),Female,Total,Upper secondary education,,,%,UNESCO Institute for Statistics (UIS),2016,48.19701,,Normal value,,,
Cabo Verde,Educational attainment of the population (aged 25 years and older),Female,Total,Upper secondary education,,,%,UNESCO Institute for Statistics (UIS),2015,19.80815,,Normal value,,,
Costa Rica,Educational attainment of the population (aged 25 years and older),Female,Total,Upper secondary education,,,%,UNESCO Institute for Statistics (UIS),2016,39.21972,,Normal value,,,
Cuba,Educational attainment of the population (aged 25 years and older),Female,Total,Upper secondary education,,,%,UNESCO Institute for Statistics (UIS),2012,57.14484,,Normal value,,,
Cayman Islands,Educational attainment of the population (aged 25 years and older),Female,Total,Upper secondary education,,,%,UNESCO Institute for Statistics (UIS),2015,90.72097,,Normal value,,,
Cyprus,Educational attainment of the population (aged 25 years and older),Female,Total,Upper secondary education,,,%,UNESCO Institute for Statistics (UIS),2016,69.6717,,Normal value,,,
Czechia,Educational attainment of the population (aged 25 years and older),Female,Total,Upper secondary education,,,%,UNESCO Institute for Statistics (UIS),2016,86.35616,,Normal value,,,
Germany,Educational attainment of the population (aged 25 years and older),Female,Total,Upper secondary education,,,%,UNESCO Institute for Statistics (UIS),2016,78.60637,,Normal value,,,
Denmark,Educational attainment of the population (aged 25 years and older),Female,Total,Upper secondary education,,,%,UNESCO Institute for Statistics (UIS),2016,78.81062,,Normal value,,,
Dominican Republic,Educational attainment of the population (aged 25 years and older),Female,Total,Upper secondary education,,,%,UNESCO Institute for Statistics (UIS),2015,38.2003,,Normal value,,,
Ecuador,Educational attainment of the population (aged 25 years and older),Female,Total,Upper secondary education,,,%,UNESCO Institute for Statistics (UIS),2016,42.01919,,Normal value,,,
Spain,Educational attainment of the population (aged 25 years and older),Female,Total,Upper secondary education,,,%,UNESCO Institute for Statistics (UIS),2016,48.42083,,Normal value,,,
Estonia,Educational attainment of the population (aged 25 years and older),Female,Total,Upper secondary education,,,%,UNESCO Institute for Statistics (UIS),2016,89.89106,,Normal value,,,
Ethiopia,Educational attainment of the population (aged 25 years and older),Female,Total,Upper secondary education,,,%,UNESCO Institute for Statistics (UIS),2011,5.65992,,Normal value,,,
Finland,Educational attainment of the population (aged 25 years and older),Female,Total,Upper secondary education,,,%,UNESCO Institute for Statistics (UIS),2015,74.71756,,Normal value,,,
France,Educational attainment of the population (aged 25 years and older),Female,Total,Upper secondary education,,,%,UNESCO Institute for Statistics (UIS),2016,66.91603,,Normal value,,,
United Kingdom,Educational attainment of the population (aged 25 years and older),Female,Total,Upper secondary education,,,%,UNESCO Institute for Statistics (UIS),2014,73.29939,,Normal value,,,
Georgia,Educational attainment of the population (aged 25 years and older),Female,Total,Upper secondary education,,,%,UNESCO Institute for Statistics (UIS),2016,93.00176,,Normal value,,,
Greece,Educational attainment of the population (aged 25 years and older),Female,Total,Upper secondary education,,,%,UNESCO Institute for Statistics (UIS),2016,52.40942,,Normal value,,,
Greenland,Educational attainment of the population (aged 25 years and older),Female,Total,Upper secondary education,,,%,UNESCO Institute for Statistics (UIS),2015,42.12252,,Normal value,,,
Guatemala,Educational attainment of the population (aged 25 years and older),Female,Total,Upper secondary education,,,%,UNESCO Institute for Statistics (UIS),2014,27.38647,,Normal value,,,
