country,country_code,year,up_sec_edu
Angola,AGO,2014,12.2926
Albania,ALB,2012,44.4915
Andorra,AND,2016,47.03563
Armenia,ARM,2015,92.04399
Australia,AUS,2016,74.57207
Austria,AUT,2016,72.8933
Azerbaijan,AZE,2016,85.36393
Burundi,BDI,2014,2.27556
Belgium,BEL,2016,65.41165
Burkina Faso,BFA,2014,1.57192
Bangladesh,BGD,2016,23.88592
Bulgaria,BGR,2016,74.33253
Bahrain,BHR,2016,46.75234
Bosnia and Herzegovina,BIH,2016,50.9234
Bermuda,BMU,2016,89.28925
Bolivia (Plurinational State of),BOL,2015,39.01879
Brazil,BRA,2015,45.7328
Bhutan,BTN,2012,2.93025
Canada,CAN,2011,82.74051
Switzerland,CHE,2016,80.70776
Chile,CHL,2015,55.97417
Côte d'Ivoire,CIV,2014,6.94469
Democratic Republic of the Congo,COD,2016,16.83823
Colombia,COL,2016,48.19701
Cabo Verde,CPV,2015,19.80815
Costa Rica,CRI,2016,39.21972
Cuba,CUB,2012,57.14484
Cayman Islands,CYM,2015,90.72097
Cyprus,CYP,2016,69.6717
Czechia,CZE,2016,86.35616
Germany,DEU,2016,78.60637
Denmark,DNK,2016,78.81062
Dominican Republic,DOM,2015,38.2003
Ecuador,ECU,2016,42.01919
Spain,ESP,2016,48.42083
Estonia,EST,2016,89.89106
Ethiopia,ETH,2011,5.65992
Finland,FIN,2015,74.71756
France,FRA,2016,66.91603
United Kingdom,GBR,2014,73.29939
Georgia,GEO,2016,93.00176
Greece,GRC,2016,52.40942
Greenland,GRL,2015,42.12252
Guatemala,GTM,2014,27.38647
"China, Hong Kong SAR",HKG,2017,61.59695
Honduras,HND,2016,25.76693
Croatia,HRV,2011,63.19986
Hungary,HUN,2016,71.94582
Indonesia,IDN,2016,29.78113
India,IND,2011,19.43397
Ireland,IRL,2017,73.32244
Iran (Islamic Republic of),IRN,2016,48.89213
Iraq,IRQ,2015,23.94748
Israel,ISR,2015,81.29626
Italy,ITA,2015,48.22383
Cambodia,KHM,2015,29.44434
Republic of Korea,KOR,2015,70.38451
Kuwait,KWT,2015,36.31978
Saint Lucia,LCA,2013,42.83393
Sri Lanka,LKA,2016,63.01839
Lithuania,LTU,2016,84.03319
Luxembourg,LUX,2014,75.72759
Latvia,LVA,2016,91.05498
Macao,MAC,2016,50.88046
Republic of Moldova,MDA,2015,73.51622
Mexico,MEX,2016,32.29884
Marshall Islands,MHL,2011,67.58212
Mali,MLI,2016,3.2433
Malta,MLT,2016,37.02982
Montenegro,MNE,2011,65.23196
Mozambique,MOZ,2015,7.79411
Mauritius,MUS,2011,39.80234
Malaysia,MYS,2016,58.60864
Niger,NER,2012,1.98776
Netherlands,NLD,2016,66.23137
Norway,NOR,2016,77.40596
Nepal,NPL,2011,10.21392
New Zealand,NZL,2016,68.31899
Oman,OMN,2015,63.17532
Pakistan,PAK,2016,20.73088
Peru,PER,2015,51.46775
Philippines,PHL,2013,60.11276
Palau,PLW,2013,87.72624
Poland,POL,2016,82.542
Puerto Rico,PRI,2017,81.85908
Portugal,PRT,2016,38.07218
Paraguay,PRY,2016,36.92301
State of Palestine,PSE,2016,39.5674
Qatar,QAT,2016,58.73034
Romania,ROU,2016,61.29822
Rwanda,RWA,2014,6.52269
Saudi Arabia,SAU,2013,45.65669
Senegal,SEN,2017,5.00873
Singapore,SGP,2016,67.8349
El Salvador,SLV,2017,28.21115
Serbia,SRB,2016,65.83401
Suriname,SUR,2012,26.24709
Slovakia,SVK,2016,82.97376
Slovenia,SVN,2016,77.29681
Sweden,SWE,2016,75.03084
Togo,TGO,2011,3.03632
Thailand,THA,2016,31.904
Tajikistan,TJK,2017,76.13938
Tonga,TON,2011,55.11562
Tunisia,TUN,2016,39.33479
Turkey,TUR,2016,28.51547
United Republic of Tanzania,TZA,2012,2.28588
Uganda,UGA,2012,6.34869
Uruguay,URY,2017,33.44088
United States,USA,2016,89.59839
Uzbekistan,UZB,2016,91.02839
Venezuela (Bolivarian Republic of),VEN,2016,65.17639
Samoa,WSM,2011,74.63024
South Africa,ZAF,2015,62.79679
Zimbabwe,ZWE,2014,12.00218
