ref_area.label,indicator.label,source.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Afghanistan,"Labour force by sex, age and marital status (thousands)",AFG - HIES - Living Condition Survey,Sex: Female,Age (Aggregate bands): Total,total,2012,1098.045,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force by sex, age and marital status (thousands)",AFG - HIES - Living Condition Survey,Sex: Female,Age (Aggregate bands): Total,single,2012,248.304,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force by sex, age and marital status (thousands)",AFG - HIES - Living Condition Survey,Sex: Female,Age (Aggregate bands): Total,married,2012,795.325,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force by sex, age and marital status (thousands)",AFG - HIES - Living Condition Survey,Sex: Female,Age (Aggregate bands): Total,widowed,2012,53.619,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force by sex, age and marital status (thousands)",AFG - HIES - Living Condition Survey,Sex: Female,Age (Aggregate bands): Total,divorced,2012,0.797,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force by sex, age and marital status (thousands)",AFG - HIES - Living Condition Survey,Sex: Female,Age (Aggregate bands): Total,single_widowed_divorced,2012,302.72,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force by sex, age and marital status (thousands)",AFG - HIES - Living Condition Survey,Sex: Female,Age (Aggregate bands): Total,married_union_cohabiting,2012,795.325,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force by sex, age and marital status (thousands)",AFG - HIES - Living Condition Survey,Sex: Female,Age (Aggregate bands): Total,total,2014,1873.69,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force by sex, age and marital status (thousands)",AFG - HIES - Living Condition Survey,Sex: Female,Age (Aggregate bands): Total,single,2014,498.944,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force by sex, age and marital status (thousands)",AFG - HIES - Living Condition Survey,Sex: Female,Age (Aggregate bands): Total,married,2014,1204.833,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force by sex, age and marital status (thousands)",AFG - HIES - Living Condition Survey,Sex: Female,Age (Aggregate bands): Total,widowed,2014,72.09,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force by sex, age and marital status (thousands)",AFG - HIES - Living Condition Survey,Sex: Female,Age (Aggregate bands): Total,divorced,2014,3.677,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force by sex, age and marital status (thousands)",AFG - HIES - Living Condition Survey,Sex: Female,Age (Aggregate bands): Total,not_elsewhere_classified,2014,94.146,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force by sex, age and marital status (thousands)",AFG - HIES - Living Condition Survey,Sex: Female,Age (Aggregate bands): Total,single_widowed_divorced,2014,574.711,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force by sex, age and marital status (thousands)",AFG - HIES - Living Condition Survey,Sex: Female,Age (Aggregate bands): Total,married_union_cohabiting,2014,1204.833,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force by sex, age and marital status (thousands)",AFG - HIES - Living Condition Survey,Sex: Female,Age (Aggregate bands): Total,total,2017,1603.087,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force by sex, age and marital status (thousands)",AFG - HIES - Living Condition Survey,Sex: Female,Age (Aggregate bands): Total,single,2017,305.924,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force by sex, age and marital status (thousands)",AFG - HIES - Living Condition Survey,Sex: Female,Age (Aggregate bands): Total,married,2017,1133.319,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force by sex, age and marital status (thousands)",AFG - HIES - Living Condition Survey,Sex: Female,Age (Aggregate bands): Total,union_cohabiting,2017,85.511,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force by sex, age and marital status (thousands)",AFG - HIES - Living Condition Survey,Sex: Female,Age (Aggregate bands): Total,widowed,2017,75.366,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force by sex, age and marital status (thousands)",AFG - HIES - Living Condition Survey,Sex: Female,Age (Aggregate bands): Total,divorced,2017,2.967,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force by sex, age and marital status (thousands)",AFG - HIES - Living Condition Survey,Sex: Female,Age (Aggregate bands): Total,single_widowed_divorced,2017,384.257,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Labour force by sex, age and marital status (thousands)",AFG - HIES - Living Condition Survey,Sex: Female,Age (Aggregate bands): Total,married_union_cohabiting,2017,1218.83,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,"Labour force by sex, age and marital status (thousands)",AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Female,Age (Aggregate bands): Total,single_widowed_divorced,2004,1284.654,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,"Labour force by sex, age and marital status (thousands)",AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Female,Age (Aggregate bands): Total,married_union_cohabiting,2004,1543.943,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,"Labour force by sex, age and marital status (thousands)",AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Female,Age (Aggregate bands): Total,total,2009,2786.864,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,"Labour force by sex, age and marital status (thousands)",AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Female,Age (Aggregate bands): Total,single,2009,507.908,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,"Labour force by sex, age and marital status (thousands)",AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Female,Age (Aggregate bands): Total,married,2009,338.285,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,"Labour force by sex, age and marital status (thousands)",AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Female,Age (Aggregate bands): Total,union_cohabiting,2009,1337.665,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,"Labour force by sex, age and marital status (thousands)",AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Female,Age (Aggregate bands): Total,widowed,2009,286.21,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,"Labour force by sex, age and marital status (thousands)",AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Female,Age (Aggregate bands): Total,divorced,2009,316.796,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,"Labour force by sex, age and marital status (thousands)",AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Female,Age (Aggregate bands): Total,single_widowed_divorced,2009,1110.913,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,"Labour force by sex, age and marital status (thousands)",AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Female,Age (Aggregate bands): Total,married_union_cohabiting,2009,1675.95,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,"Labour force by sex, age and marital status (thousands)",AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Female,Age (Aggregate bands): Total,single_widowed_divorced,2011,1448.263,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,"Labour force by sex, age and marital status (thousands)",AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Female,Age (Aggregate bands): Total,married_union_cohabiting,2011,2265.542,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,total,2007,445.671,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,single,2007,85.988,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,married,2007,340.312,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,widowed,2007,14.687,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,divorced,2007,4.685,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,single_widowed_divorced,2007,105.36,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,married_union_cohabiting,2007,340.312,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,total,2008,579.861,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,single,2008,99.574,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,married,2008,456.954,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,widowed,2008,16.509,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,divorced,2008,6.824,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,single_widowed_divorced,2008,122.907,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,married_union_cohabiting,2008,456.954,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,total,2009,589.456,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,single,2009,125.206,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,married,2009,433.668,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,widowed,2009,21.337,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,divorced,2009,9.245,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,single_widowed_divorced,2009,155.788,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,married_union_cohabiting,2009,433.668,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,total,2010,591.159,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,single,2010,113.537,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,married,2010,444.149,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,widowed,2010,25.367,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,divorced,2010,8.107,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,single_widowed_divorced,2010,147.011,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,married_union_cohabiting,2010,444.149,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,total,2011,592.75,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,single,2011,106.871,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,married,2011,452.266,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,widowed,2011,24.321,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,divorced,2011,9.292,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,single_widowed_divorced,2011,140.484,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,married_union_cohabiting,2011,452.266,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,total,2013,532.512,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,single,2013,79.87,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,married,2013,407.958,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,widowed,2013,29.399,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,divorced,2013,15.284,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,single_widowed_divorced,2013,124.554,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,married_union_cohabiting,2013,407.958,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,total,2014,527.454,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,single,2014,90.896,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,married,2014,409.083,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,widowed,2014,20.534,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,divorced,2014,6.941,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,single_widowed_divorced,2014,118.371,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,married_union_cohabiting,2014,409.083,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,total,2015,559.825,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,single,2015,82.666,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,married,2015,442.57,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,widowed,2015,25.811,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,divorced,2015,8.779,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,single_widowed_divorced,2015,117.255,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,married_union_cohabiting,2015,442.57,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,total,2016,589.511,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,single,2016,93.261,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,married,2016,461.186,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,widowed,2016,26.848,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,divorced,2016,8.216,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,single_widowed_divorced,2016,128.325,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,married_union_cohabiting,2016,461.186,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,total,2017,588.14,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,single,2017,65.996,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,married,2017,346.03,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Labour force by sex, age and marital status (thousands)",ALB - LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,widowed,2017,22.734,,,,Repository: ILO-STATISTICS - Micro data processing
