"IndicatorCode","IndicatorName","VariableName","MeasurementName","CountryCode","Alpha3Code","CountryName","TIME","Value",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","008","ALB","Albania","2005","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","008","ALB","Albania","2006","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","008","ALB","Albania","2007","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","008","ALB","Albania","2008","14.7",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","008","ALB","Albania","2009","11.5",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","008","ALB","Albania","2010","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","008","ALB","Albania","2011","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","008","ALB","Albania","2012","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","008","ALB","Albania","2013","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","008","ALB","Albania","2014","10.1",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","008","ALB","Albania","2015","11.5",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","008","ALB","Albania","2016","11.4",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","008","ALB","Albania","2017","10.5",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","008","ALB","Albania","2018","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","020","AND","Andorra","2005","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","020","AND","Andorra","2006","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","020","AND","Andorra","2007","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","020","AND","Andorra","2008","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","020","AND","Andorra","2009","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","020","AND","Andorra","2010","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","020","AND","Andorra","2011","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","020","AND","Andorra","2012","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","020","AND","Andorra","2013","..",
